"","Site","Context","Pit","Layer","No.","Position","New_Layer","Part","Weight","H_Rim","Hight","Thick1_Rim","Thick2_Rim","Thick1_Neck","Thick2_Neck","Thick1_Body","Thick2_Body","Diameter1_Rim","Diameter2_Rim","Diameter1_Neck","Diameter2_Neck","Diameter1_Body","Diameter2_Body","rim_form","紋飾/口緣","紋飾/腹片","紋飾/其他","特殊記載","紋飾特色","temper","texture","abundence","fireing core","sherd texture","curventure","緣內抹修","內頸","備註","出土說明","腹部","Grid","phase","layer2","filename"
"1","KWL","P","P040","L4","145","D",NA,"pot","165.5","25","146+","2.5","2","4.5","4",1.3,"2.2999999999999998","120",NA,"102",NA,"160",NA,"平唇,口微歛,外口微土溢,器薄","菱格紋","菱格紋.直行紋.菱格紋.直行紋","繫痕細多","g93,似^X^相連,x左撇","紋飾規整,橫菱格,直行間距4.5mm","sand","fine","medium","4","fine","6.6",NA,"圓弧","內外腹煙炱痕,口內外稍有,內腹指壓痕明顯,有灰燼,口兩層,質地脆",NA,"推測","AT2P8","post-e","04","P04004145"
"2","KWL","P","P040","L4","181","D",NA,"rim","60.5","23","71+","3","2.5","3","3.5",1.7,"na","128",NA,"110",NA,"159+",NA,"平唇,口微歛,外口微土溢,缺下腹及底,器薄","編織紋","直行紋.折線紋.直行紋.折線紋","繫痕細多",NA,"紋飾細緻,直行間距2mm,折線窄約6mm","sand","fine","medium","1","fine","na","稍微","圓弧","內外腹煙炱痕,內腹指壓痕明顯","陶片堆","腹圍不足","AT2P8","post-e","04","P04004181"
"3","KWL","P","P041","L1","024","A",NA,"pot or steamer","125.5","22","91+","5.5",NA,"6",NA,3,NA,"150",NA,"140",NA,"230+",NA,"平唇外翻折,口近直,頸厚,缺底",NA,NA,NA,NA,"環頸一圈草莖紋壓痕深",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AT2P9sec","ch-con","01","P04101024"
"4","KWL","P","P041","L1","024","A",NA,"pot or steamer","125.5","22","91+","5.5",NA,"6",NA,3,NA,"150",NA,"140",NA,"230+",NA,"平唇外翻折,口近直,頸厚,缺底",NA,NA,NA,NA,"環頸一圈草莖紋壓痕深",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AT2P9rec","ch-con","01","P04101024"
"5","KWL","P","P041","L4","133","C",NA,"pot","95.5","24","90+","1.5","2","4","3.5",1.5,"2","114",NA,"104",NA,"150",NA,"平唇,口不圓,器薄","折線紋","平行紋.直行紋.折線紋.直行紋.折線紋","繫痕細多",NA,"紋飾間距皆較大,約4-6mm","sand","fine","medium","4","fine","6.8","稍微","圓弧角","無燒煮使用痕,底露胎一處",NA,"推測","AT2P9sec","post-e","04","P04104133"
"6","KWL","P","P041","L4","133","C",NA,"pot","95.5","24","90+","1.5","2","4","3.5",1.5,"2","114",NA,"104",NA,"150",NA,"平唇,口不圓,器薄","折線紋","平行紋.直行紋.折線紋.直行紋.折線紋","繫痕細多",NA,"紋飾間距皆較大,約4-6mm","sand","fine","medium","4","fine","6.8","稍微","圓弧角","無燒煮使用痕,底露胎一處",NA,"推測","AT2P9rec","post-e","04","P04104133"
"7","KWL","P","P042","L1","647","D",NA,"pot","127","18","55+","3","2.2999999999999998","4","4.5",2,"na","115",NA,"100",NA,"150",NA,"平唇,口不圓","菱格紋","正方格紋.折線紋","繫痕細多",NA,"菱格與方格皆小","sand","fine","medium","4","fine","8.9","稍微","抹平","內外腹略煙炱痕,內腹指壓痕明顯",NA,"有","AT2P10","post-e","01","P04201647"
"8","KWL","P","P042","L1","897","D",NA,"pot or steamer","115.5","17","88+","3.5","2.5","4","4.5",2,"1.5","116.5",117,"101",100,"160",NA,"平唇,外口土溢,口不平,缺底","菱格紋","折線紋.直行紋","繫痕細多,部分印到口緣",NA,NA,"sand","fine","medium","4","fine","8.8000000000000007",NA,"折角,部分抹平","內外腹略煙炱痕,內腹指壓痕明顯,內腹有灰燼",NA,"推測","AT2P10","post-e","01","P04201897"
"9","KWL","P","P042","L1","898","C",NA,"pot or steamer","115.5","23","81+","2.2000000000000002","1.6","3","4",2.3,"1.6","116",117,"102",NA,"150",NA,"平唇,缺底","折線紋","平行紋.直行紋.折線紋.直行紋","繫痕細多,部分深",NA,"紋飾深,直行紋間距寬,約6mm","sand","fine","medium","4","fine","8","稍微","圓弧","外及內腹煙炱痕,口內外皆有,內集中上口,色黑,內腹指壓痕明顯",NA,"推測","AT2P10","post-e","01","P04201898"
"10","KWL","P","P042","L2","016",NA,NA,"pot or steamer","117","15.5","58+","3.2","2.2000000000000002","4","3",2.2,"1.6","130",NA,"105",107,"182",NA,"平唇,外侈角度大,器略大,缺底","菱格紋","折線紋.波浪紋.折線紋","繫痕細多",NA,"豎波浪紋","sand","fine","medium","1, 4","fine","na",NA,"圓弧稍抹平","內肩一圈指壓痕明顯,肩二層,應肩頸以上部位另外貼附上去","圖例(2)","推測","AT2P10","pre-e","02","P04202016"
"11","KWL","P","P042","L2","180","C",NA,"pot","125.5","23.5","146","3.5","2","5.5","4",2,"3.5","110",NA,"92",NA,"112",NA,"平唇略外翻折,口不平不圓,器身前後壓扁變形","菱格紋","直行紋.平行紋.直行紋.平行紋.直行紋.平行紋.直行紋.平行紋.","繫痕細多",NA,"平行紋短約7mm,似間隔直行紋用,應先直後平行.口部菱格部分重疊細碎","sand","fine","medium","1, 4","fine","8.4",NA,"折角","無燒煮使用痕,底露胎一處,口二層,有燒漲的圓形凸起,口腹皆有,質地硬脆",NA,"推測","AT2P10","pre-e","02","P04202180"
"12","KWL","P","P042","L2","190","C",NA,"pot","150.5","24","121","2","1.5","4","3.5",1.7,"2.2999999999999998","121.5",NA,"107.5",NA,"144",NA,"平唇,底近平略厚重","菱格紋","直行紋.平行紋.直行紋.平行紋.直行紋.折線紋","繫痕細多,寬4-7mm",NA,"直行與平行紋細緻,間距小約1.5-2mm","sand","fine","medium","4","fine","8.3000000000000007",NA,"圓弧稍抹平","內外佈煙炱痕,口內外亦有,內集中上口,外口露胎一處,口二層,內底有灰燼",NA,"有","AT2P10","pre-e","02","P04202190"
"13","KWL","P","P042","L2","191","C",NA,"pot or steamer","90.5","19","90+","2","1.5","3","3",1.5,"2","104",101.5,"87",87,"137",NA,"平唇略外翻,器薄,缺底","素面","折線紋.直行紋.折線紋.直行紋.折線紋.直行紋","繫痕細多",NA,"口無紋,腹紋飾細緻,紋飾帶短約13mm,折線為豎狀","sand","fine","medium","4","fine","9.35","外緣抹修","圓弧角","內外佈煙炱痕,口內外亦有,內腹指壓痕明顯,有灰燼,夾砂顆粒明顯",NA,"推測","AT2P10","pre-e","02","P04202191"
"14","KWL","P","P042","L2","600","D",NA,"pot","132.5","15.5","103+","3","2","4","3.5",3.5,"3","114",NA,"98",NA,"129",NA,"平唇外翻折,口不平不圓","菱格紋","平行紋.複折線紋","繫痕",NA,"平行線細緻,僅20mm其餘複折線","sand","fine","medium","4","fine","9.1",NA,"抹平","內外腹煙炱痕,口內外稍有,內頸橫縱裂痕皆有,內腹指壓痕明顯,部分砂粗","圖例(3)下","有","AT2P10","pre-e","02","P04202600"
"15","KWL","P","P042","L3","157","D",NA,"pot","174","17","131","2.5","2","4.5","4",2.5,"3","125",NA,"105",NA,"150.5",NA,"平唇外翻折,口不平不圓","豎折線紋","直行紋.折線紋","繫痕深",NA,"環頸一圈壓痕深","sand","fine","medium","4","fine","8.1999999999999993",NA,"折角,部分圓弧","外腹煙炱痕,口內外稍有,內腹指壓痕明顯","圖例(2)","有","AT2P10","pre-e","03","P04203157"
"16","KWL","P","P042","L4","056","A",NA,"pot","284","27","149","2",NA,"4.5",NA,2,NA,"129",NA,"109",NA,"180",NA,"平唇外翻折,口不平,器薄,全形可復原","素面","折線紋.平行紋.折線紋.平行紋",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"內腹略煙炱痕,腹部壓凹一處","黑土區下方",NA,"AT2P10","pre-e","04","P04204056"
"17","KWL","P","P051","L5","001",NA,NA,"pot or steamer","65","19","104+","3.5","2.8","4.5","5",2.5,"2","110",NA,"100",NA,"157",NA,"圓唇,內口土溢","直行紋","直行紋.複菱格紋.平行紋.菱格紋","繫痕",NA,"複菱格紋寬約6mm","sand","fine","medium","1","fine","7.1",NA,"圓弧","內外腹煙炱痕,外口有,內腹指壓痕明顯,內頸有口腹接合痕跡",NA,"推測","AT3P7BC","ch-con","05","P05105001"
"18","KWL","P","P051","L9","226","D",NA,"rim","78.5","23.5","65+","1.5","2.2000000000000002","5.5","4.5",3,"na","114",NA,"98",NA,"136",NA,"平唇外翻折,口近直,缺底","正方格紋","直行紋.折線紋","繫痕細多,成2mm",NA,"口正方格斜行","sand","fine","medium","4","fine","na",NA,"圓弧","外腹略煙炱痕,部分砂粗",NA,"推測","AT3P7BC","post-e","09","P05109226"
"19","KWL","P","P051","L9","262",NA,NA,"pot","79","23","125","3","3.3","4","3.7",2,"2.2999999999999998","120",NA,"109",NA,"150",NA,"平唇","菱格紋","直行紋.菱格紋.直行紋.折線紋","繫痕細多",NA,"口紋飾模糊","sand","fine","medium","4","fine","7.9",NA,"圓弧","內外佈煙炱痕,口內外亦有,內底有灰燼","罐(2),H00502001","推測","AT3P7BC","post-e","09","P05109262"
"20","KWL","P","P051","L10","155","C",NA,"pot","82.5","20","123+","2","2.5","3","3.5",2,"2.5","120",NA,"105",NA,"150",NA,"平唇略外翻折,外口微土溢","菱格紋","直行紋.菱格紋.直行紋.編織紋","繫痕平直3mm",NA,"紋飾清楚","sand","fine","abundent","4","fine","7.3",NA,"圓弧","內外佈煙炱痕,口內外亦有,內集中上口,內腹有灰燼",NA,"推測","AT3P7BC","post-e","10","P05110155"
"21","KWL","P","P051","L10","174","C",NA,"rim","56","18","88+","3.3","2.7","4","4",2.5,"na","160",NA,"132",NA,"185",NA,"平唇,口不圓,器較大,缺下腹及底","菱格紋","直行紋.菱格紋.折線紋","繫痕細多",NA,"口部紋飾模糊","sand","fine","medium","4","fine","na","稍微","圓弧","無燒煮使用痕,口頸二層,器似已嚴重變形(未觀察到?),內頸指壓痕明顯",NA,"推測","AT3P7BC","post-e","10","P05110174"
"22","KWL","P","P051","L10","370","D",NA,"pot or steamer","71","20","96+","3","2.5","4","5",2,"2.4","110",NA,"100",NA,"135",NA,"平唇,口微歛,內口土溢,口不圓,缺底","方格紋","方格紋.折線紋.方格紋.折線紋","繫痕",NA,"紋飾細緻清楚,口部為木梯與方格組合","sand","fine","medium","1","fine","9.1","稍微","圓弧","無燒煮使用痕,內腹指壓痕明顯",NA,"推測","AT3P7BC","post-e","10","P05110370"
"23","KWL","P","P051","L10","372","D",NA,"pot or steamer","97","22.5","90+","1.9","2.4","4","3",2.5,"3.5","119",120,"99",102,"158",NA,"平唇略外翻折,缺底","菱格紋","直行紋.折線紋.直行紋.折線紋.直行紋.折線紋","繫痕平直1.5mm",NA,"折線間距粗約6mm","sand","fine","medium","1, 4","fine","na","有","抹平","內外腹略煙炱痕,質地較硬",NA,"推測","AT3P7BC","post-e","10","P05110372"
"24","KWL","P","P051","L10","375","D",NA,"rim","46.5","19.5","85+","2","2.5","3.5","3",2.5,"na","113",NA,"100",NA,"155",NA,"平尖唇略外翻,外口土溢,口不圓,缺底","菱格紋","平行紋.直行紋.折線紋.平行紋","繫痕平直3mm",NA,"直行紋帶短約8mm,外頸下橫印紋可能為拍板端","sand","fine","medium","1","fine","na","稍微","圓弧稍抹平","內外腹煙炱痕,內腹有灰燼,內頸下方有三角形壓印痕,十分特殊",NA,"推測","AT3P7BC","post-e","10","P05110375"
"25","KWL","P","P051","L10","509","D",NA,"pot or steamer","65","19","105+","2","1.8","3.5","4",3.5,"4","115",NA,"103",NA,"143",NA,"平唇,外口為土溢,缺底","豎折線紋","平行紋.直行紋.折線紋.平行紋.折線紋","繫痕細多,成4mm",NA,"紋飾細緻,第二平行紋帶不明顯,僅10mm寬","sand","fine","medium","口4, 腹1","fine","9.1999999999999993","稍微","圓弧稍抹平","內外佈煙炱痕,口內外稍有,內腹指壓痕明顯,內腹有灰燼,口腹二層,質地較硬","擾亂區","推測","AT3P7BC","post-e","10","P05110509"
"26","KWL","P","P051","L10","529","C",NA,"pot or steamer","216.5","22","113+","2.9","2.2000000000000002","3","4",2.5,"1.5","112",NA,"96",NA,"153",NA,"平唇,缺底","菱格紋","平行紋.菱格紋.菱形圓點紋.平行紋.菱形圓點","繫痕",NA,"特殊紋:菱形寬約1cm,中間一圓點","sand","fine","medium","4","fine","na","稍微","圓弧","內外佈煙炱痕,口內外亦有,內腹有灰燼.內腹有指壓痕,上腹二層","03","推測","AT3P7BC","post-e","10","P05110529"
"27","KWL","P","P051","L10","569","A",NA,"pot or steamer","55","29","124+","1.7","2.2000000000000002","4.5","4",1.3,"1.7","140",NA,"115",NA,"168",NA,"平尖唇略外翻折,口高,缺底","折線紋","直行紋.折線紋.直行紋.編織紋","繫痕細多",NA,"編織紋粗約9mm","sand","fine","medium","4","fine","7","稍微","抹平","無燒煮使用痕,內腹指壓痕明顯,內口露胎二處",NA,"推測","AT3P7BC","post-e","10","P05110569"
"28","KWL","P","P051","L11","307","D",NA,"pot or steamer","55","21","87+","2.5","2","3","4.5",1.5,"2","120",NA,"108",NA,"155",NA,"平唇,口不平不圓,缺底","波浪紋","直行紋.折線紋.直行紋.折線紋.直行紋.折線紋","繫痕細多",NA,"折線又似波浪,間隔有橫紋","sand","fine","medium","1","fine","na",NA,"圓弧","內外佈煙炱痕,內口稍有,內腹有指壓痕,內腹有灰燼",NA,"推測","AT3P7BC","post-e","11","P05111307"
"29","KWL","P","P051","L11","308","C",NA,"pot","151","20","133","1.5","2.5","3","4",1.5,"2","115.5",NA,"94",98,"162",NA,"平唇略外翻折,口不圓","菱格紋","直行紋.折線紋.直行紋.折線紋.直行紋.折線紋","繫痕整齊平直1mm",NA,"直與折線間隔中有橫紋","sand","fine","medium","1, 4","fine","7.2","稍微","抹平,5mm","無燒煮使用痕,質地較硬,底二層,肩部有一壓凹略塌處",NA,"有","AT3P7BC","post-e","11","P05111308"
"30","KWL","P","P051","L11","309","C",NA,"pot","157","20","123.5","2","na","2.5","na",3,"4","110",NA,"96.5",NA,"138",NA,"平唇略外翻折","菱格紋","直行紋.折線紋","繫痕",NA,"折線間距寬,約6mm","sand","fine","medium","4","fine","7.6",NA,"圓弧","無明顯燒煮使用痕,內腹指壓痕明顯.腹二層",NA,"有","AT3P7BC","post-e","11","P05111309"
"31","KWL","P","P051","L11","310","C",NA,"pot or steamer","65","21.5","89.5+","1.1000000000000001","2","4","3.5",1.6,"na","115.5",NA,"98",NA,"160",NA,"平唇,口微歛,口不平不圓,缺底","豎折線紋","平行紋.豎折線紋平行紋.豎折線紋平行紋.直行紋","繫痕","似X,右撇,寬0.5mm","紋飾細緻清楚,但口部較模糊","sand","fine","medium","1","fine","na",NA,"抹平,5mm","內外佈煙炱痕,內腹有灰燼,口緣部分向內凹入,有特殊記載",NA,"推測","AT3P7BC","post-e","11","P05111310"
"32","KWL","P","P051","L11","311","C",NA,"pot","211.5","23","123+","3.3","1.5","4","3.5",2,"3","128.5",126,"105",108.5,"144",141.5,"平唇,口微歛,口不圓","波浪紋","直行紋.折線紋.直行紋.折線紋.直行紋.折線紋","繫痕細多,部分不明顯",NA,"紋飾清楚,環頸一圈無紋寬,折線度數大約150","sand","fine","medium","1, 4","fine","cant","稍微","圓弧稍抹平","外腹略煙炱痕,內腹指壓痕明顯",NA,"有","AT3P7BC","post-e","11","P05111311"
"33","KWL","P","P051","L12","129",NA,NA,"pot","284","23","132+","3","2.2999999999999998","3","4",2,"1.5","123",124,"100",100,"153",152,"平唇,口微歛","豎折線紋","直行紋.豎折線紋直行紋.豎折線紋","繫痕",NA,"中腹直行紋帶短1cm","sand","fine","medium","4","fine","cant","有","圓弧,部分折角","內外佈煙炱痕,口內外皆有,內口露胎三處,腹底露胎四處,內腹有灰燼,口腹皆二層","罐01","有","AT3P7BC","pre-e","12","P05112129"
"34","KWL","P","P051","L12","144",NA,NA,"pot","101","19.5","130+","3","2.5","3","3.5",2.6,"2.2000000000000002","120",NA,"106",NA,"160",NA,"平唇,口微歛","菱格紋","直行紋.菱格紋.直行紋.平行紋","繫痕細多,成2.5mm",NA,"紋飾清楚,直行間距短約2mm","sand","fine","abundent","4","fine","7.4",NA,"圓弧","內外佈煙炱痕,口內外稍有,內腹有灰燼","陶罐(04)","推測","AT3P7BC","pre-e","12","P05112144"
"35","KWL","P","P052","L2","057","D",NA,"pot","283.5","22","118","3.2","2.8","5.5","6",2.5,"na","120",NA,"109",NA,"149",NA,"平唇,口微歛,底近平,器厚,全形可復原","平行紋","木梯紋.平行紋.菱格紋","繫痕細多",NA,"口部有拍板端痕22mm,木梯約14mm一拍","sand","fine","medium","4","fine","7.9","稍微","圓弧","內外佈煙炱痕,口內外稍有,內腹指壓痕明顯,內上腹有灰燼,口二層",NA,"有","AT3P8AD","ch-con","02","P05202057"
"36","KWL","P","P052","L2","057","D",NA,"pot","283.5","22","118","3.2","2.8","5.5","6",2.5,"na","120",NA,"109",NA,"149",NA,"平唇,口微歛,底近平,器厚,全形可復原","平行紋","木梯紋.平行紋.菱格紋","繫痕細多",NA,"口部有拍板端痕22mm,木梯約14mm一拍","sand","fine","medium","4","fine","7.9","稍微","圓弧","內外佈煙炱痕,口內外稍有,內腹指壓痕明顯,內上腹有灰燼,口二層",NA,"有","AT3P8BC","ch-con","02","P05202057"
"37","KWL","P","P052","L7","025","A",NA,"pot","71","25.5","104+","4","2.5","4.5","5.5",4,"3.5","123",121,"106",108,"148",151,"平唇,口高近直,缺底","平行紋","直行紋.菱格紋.折線紋.直行紋.折線紋","繫痕不明顯",NA,"口部紋飾模糊","sand","fine","medium","1, 4","fine","na",NA,"圓弧","外佈煙炱痕,外口稍有","03","推測","AT3P8AD","post-e","07","P05207025"
"38","KWL","P","P052","L7","025","A",NA,"pot","71","25.5","104+","4","2.5","4.5","5.5",4,"3.5","123",121,"106",108,"148",151,"平唇,口高近直,缺底","平行紋","直行紋.菱格紋.折線紋.直行紋.折線紋","繫痕不明顯",NA,"口部紋飾模糊","sand","fine","medium","1, 4","fine","na",NA,"圓弧","外佈煙炱痕,外口稍有","03","推測","AT3P8BC","post-e","07","P05207025"
"39","KWL","P","P052","L7","105","C",NA,"pot","202.5","29","126.5","3","2","3.5","4.5",1.5,"2.1","130",NA,"112",NA,"150",NA,"平唇,口高,口不圓","菱格紋","木梯紋.折線紋.木梯紋.折線紋","繫痕細多,部分印到上腹",NA,"紋飾細緻,木梯紋寬6.5mm,梯間距1mm","sand","fine","medium","1, 4","fine","7","稍微","圓弧稍抹平","無燒煮使用痕,內腹指壓痕明顯,質地較硬,外口及腹共露胎三處,口腹二層","陶罐02","有","AT3P8AD","post-e","07","P05207105"
"40","KWL","P","P052","L7","105","C",NA,"pot","202.5","29","126.5","3","2","3.5","4.5",1.5,"2.1","130",NA,"112",NA,"150",NA,"平唇,口高,口不圓","菱格紋","木梯紋.折線紋.木梯紋.折線紋","繫痕細多,部分印到上腹",NA,"紋飾細緻,木梯紋寬6.5mm,梯間距1mm","sand","fine","medium","1, 4","fine","7","稍微","圓弧稍抹平","無燒煮使用痕,內腹指壓痕明顯,質地較硬,外口及腹共露胎三處,口腹二層","陶罐02","有","AT3P8BC","post-e","07","P05207105"
"41","KWL","P","P052","L8","090","B",NA,"pot or steamer","119.5","20.5","82+","2.6","2","4","3.8",1.6,"2.2000000000000002","120",NA,"101",NA,"142",NA,"平唇,缺底","菱格紋","木梯紋.折線紋","繫痕",NA,"腹部紋飾模糊,木梯約14mm一拍","sand","fine","medium","4","fine","na","稍微","圓弧稍抹平","內外佈煙炱痕,口內外亦有,內腹有灰燼","9-1","推測","AT3P8AD","post-e","08","P05208090"
"42","KWL","P","P052","L8","090","B",NA,"pot or steamer","119.5","20.5","82+","2.6","2","4","3.8",1.6,"2.2000000000000002","120",NA,"101",NA,"142",NA,"平唇,缺底","菱格紋","木梯紋.折線紋","繫痕",NA,"腹部紋飾模糊,木梯約14mm一拍","sand","fine","medium","4","fine","na","稍微","圓弧稍抹平","內外佈煙炱痕,口內外亦有,內腹有灰燼","9-1","推測","AT3P8BC","post-e","08","P05208090"
"43","KWL","P","P052","L9","028","A",NA,"pot","158","19","120+","2","2.5","4","4.5",2,"3","126",NA,"112",NA,"162",NA,"平唇略外翻折,外口土溢","菱格紋","直行紋.波浪紋.直行紋.波浪紋","繫痕細多",NA,"直行寬5mm,部分可見橫向細紋","sand","fine","medium","1, 4","fine","7.1",NA,"圓弧稍抹平","內外腹佈煙炱痕,外口亦有,色黑,內口外腹露胎三處,口腹二層",NA,"推測","AT3P8AD","pre-e","09","P05209028"
"44","KWL","P","P052","L9","028","A",NA,"pot","158","19","120+","2","2.5","4","4.5",2,"3","126",NA,"112",NA,"162",NA,"平唇略外翻折,外口土溢","菱格紋","直行紋.波浪紋.直行紋.波浪紋","繫痕細多",NA,"直行寬5mm,部分可見橫向細紋","sand","fine","medium","1, 4","fine","7.1",NA,"圓弧稍抹平","內外腹佈煙炱痕,外口亦有,色黑,內口外腹露胎三處,口腹二層",NA,"推測","AT3P8BC","pre-e","09","P05209028"
"45","KWL","P","P052","LNA","030","A",NA,"pot or steamer","156.5","22","95+","3.2","2.6","3.5","3",3,"4","118",NA,"104",NA,"162",NA,"圓唇,內口土溢,口微歛,缺底","編織紋","直行紋.菱格紋.平行紋.菱格紋","繫痕","三斜紋,似\V,0.25mm粗","編織似平行紋","sand","fine","medium","4","fine","6.2","稍微","圓弧,部分未抹平","外腹略煙炱痕,內腹指壓痕明顯,口腹二層,質地較硬","西界牆崩落區","有",NA,NA,"NA","P052NA030"
"46","KWL","P","P053","L1","015","A",NA,"pot or steamer","164.5","22","109+","4","5","6","5",4,"na","117",124,"111",104,"166",NA,"平圓唇,唇沿略補土不平,器身厚,缺底","直行紋","直行紋.菱格紋.直行紋.菱格紋","繫痕細多","似>--<相連, 1.6mm粗,總長42mm","口緣近頸處有拍板印痕","sand","fine","medium","1","fine","na","稍微","圓弧","外佈煙炱痕,外口亦有,色黑,內頸有橫向裂痕,質地較硬",NA,"推測","AT3P9AB","ch-con","01","P05301015"
"47","KWL","P","P053","L1","015","A",NA,"pot or steamer","164.5","22","109+","4","5","6","5",4,"na","117",124,"111",104,"166",NA,"平圓唇,唇沿略補土不平,器身厚,缺底","直行紋","直行紋.菱格紋.直行紋.菱格紋","繫痕細多","似>--<相連, 1.6mm粗,總長42mm","口緣近頸處有拍板印痕","sand","fine","medium","1","fine","na","稍微","圓弧","外佈煙炱痕,外口亦有,色黑,內頸有橫向裂痕,質地較硬",NA,"推測","AT3P9C","ch-con","01","P05301015"
"48","KWL","P","P053","L1","015","A",NA,"pot or steamer","164.5","22","109+","4","5","6","5",4,"na","117",124,"111",104,"166",NA,"平圓唇,唇沿略補土不平,器身厚,缺底","直行紋","直行紋.菱格紋.直行紋.菱格紋","繫痕細多","似>--<相連, 1.6mm粗,總長42mm","口緣近頸處有拍板印痕","sand","fine","medium","1","fine","na","稍微","圓弧","外佈煙炱痕,外口亦有,色黑,內頸有橫向裂痕,質地較硬",NA,"推測","AT3P9D","ch-con","01","P05301015"
"49","KWL","P","P053","L1","124","D",NA,"rim","80","20","54+","3","3.8","3","3.5",1.8,"na","111",114,"100",103,"154+",NA,"平唇,口微歛,缺底","編織紋","直行紋.編織紋.平行紋","繫痕不明顯",NA,"口編織與腹編織類似","sand","fine","medium","1, 4","fine","na","稍微","圓弧","口頸二層,內腹指壓痕明顯,質地脆",NA,"推測","AT3P9AB","ch-con","01","P05301124"
"50","KWL","P","P053","L1","124","D",NA,"rim","80","20","54+","3","3.8","3","3.5",1.8,"na","111",114,"100",103,"154+",NA,"平唇,口微歛,缺底","編織紋","直行紋.編織紋.平行紋","繫痕不明顯",NA,"口編織與腹編織類似","sand","fine","medium","1, 4","fine","na","稍微","圓弧","口頸二層,內腹指壓痕明顯,質地脆",NA,"推測","AT3P9C","ch-con","01","P05301124"
"51","KWL","P","P053","L1","124","D",NA,"rim","80","20","54+","3","3.8","3","3.5",1.8,"na","111",114,"100",103,"154+",NA,"平唇,口微歛,缺底","編織紋","直行紋.編織紋.平行紋","繫痕不明顯",NA,"口編織與腹編織類似","sand","fine","medium","1, 4","fine","na","稍微","圓弧","口頸二層,內腹指壓痕明顯,質地脆",NA,"推測","AT3P9D","ch-con","01","P05301124"
"52","KWL","P","P053","L2","034","A",NA,"pot","142.5","23","106+","4.3","5.5","4.5","5",2,"1.6","118",NA,"104",NA,"160",NA,"平唇,口微歛,缺底","直行紋","折線紋.直行紋.折線紋.直行紋.菱格紋","繫痕細多",NA,"紋飾清楚,橫菱格","sand","fine","medium","1","fine","7.8","稍微","抹平,1cm","外佈煙炱痕,外口亦有,內腹指壓痕明顯,口頸二層,質地較硬",NA,"推測","AT3P9AB","ch-con","02","P05302034"
"53","KWL","P","P053","L2","034","A",NA,"pot","142.5","23","106+","4.3","5.5","4.5","5",2,"1.6","118",NA,"104",NA,"160",NA,"平唇,口微歛,缺底","直行紋","折線紋.直行紋.折線紋.直行紋.菱格紋","繫痕細多",NA,"紋飾清楚,橫菱格","sand","fine","medium","1","fine","7.8","稍微","抹平,1cm","外佈煙炱痕,外口亦有,內腹指壓痕明顯,口頸二層,質地較硬",NA,"推測","AT3P9C","ch-con","02","P05302034"
"54","KWL","P","P053","L2","034","A",NA,"pot","142.5","23","106+","4.3","5.5","4.5","5",2,"1.6","118",NA,"104",NA,"160",NA,"平唇,口微歛,缺底","直行紋","折線紋.直行紋.折線紋.直行紋.菱格紋","繫痕細多",NA,"紋飾清楚,橫菱格","sand","fine","medium","1","fine","7.8","稍微","抹平,1cm","外佈煙炱痕,外口亦有,內腹指壓痕明顯,口頸二層,質地較硬",NA,"推測","AT3P9D","ch-con","02","P05302034"
"55","KWL","P","P053","L2","151","C",NA,"pot","285","19","111","3.5","3","3.5","4.5",1.8,"2.2000000000000002","118",NA,"105",NA,"152",155,"平唇,底寬近平,全形可復原","平行紋","直行紋.菱格紋.直行紋.菱格紋","繩紋繫痕,兩中繩2mm",NA,"環頸繩紋明顯,橫菱格,","sand","fine","medium","4","fine","cant","稍微","圓弧","內外佈煙炱痕,外口亦有,內腹有灰燼,質地較硬","陶罐05","有","AT3P9AB","ch-con","02","P05302151"
"56","KWL","P","P053","L2","151","C",NA,"pot","285","19","111","3.5","3","3.5","4.5",1.8,"2.2000000000000002","118",NA,"105",NA,"152",155,"平唇,底寬近平,全形可復原","平行紋","直行紋.菱格紋.直行紋.菱格紋","繩紋繫痕,兩中繩2mm",NA,"環頸繩紋明顯,橫菱格,","sand","fine","medium","4","fine","cant","稍微","圓弧","內外佈煙炱痕,外口亦有,內腹有灰燼,質地較硬","陶罐05","有","AT3P9C","ch-con","02","P05302151"
"57","KWL","P","P053","L2","151","C",NA,"pot","285","19","111","3.5","3","3.5","4.5",1.8,"2.2000000000000002","118",NA,"105",NA,"152",155,"平唇,底寬近平,全形可復原","平行紋","直行紋.菱格紋.直行紋.菱格紋","繩紋繫痕,兩中繩2mm",NA,"環頸繩紋明顯,橫菱格,","sand","fine","medium","4","fine","cant","稍微","圓弧","內外佈煙炱痕,外口亦有,內腹有灰燼,質地較硬","陶罐05","有","AT3P9D","ch-con","02","P05302151"
